 >> TARTAROS @ 17-Dec-2023 12:20:34 <<

   1: Black Soul Choir | 16 Horsepower
 644: I Wanna Be Your Dog | The Stooges
 645: The Adults Are Talking | The Strokes
 646: Why Are Sundays So Depressing | The Strokes
 647: Golden Brown | The Stranglers
 648: Rapper's Delight - Single Version | The Sugarhill Gang
 649: Boss of Me (From "Malcolm in the Middle") | The Superstation
 650: Pale Blue Eyes | The Velvet Underground
 651: Apple Blossom | The White Stripes
 652: Love Reign O'er Me | The Who
 653: Intro | The xx
 654: Cento fiori | The Young Nope
 655: Andate tutti affanculo | The Zen Circus
 656: Vent'anni | The Zen Circus, Brian Ritchie
 657: American Beauty | Thomas Newman
 658: The Living I Know | Thony
 659: Mama Told Me (Not To Come) - Single Version | Three Dog Night
 660: Something In The Air | Thunderclap Newman
 661: The Future's So Bright, I Gotta Wear Shades | Timbuk 3
 662: Sole Spento | Timoria
 663: Amore Impossibile | Tiromancino
 664: Pericle Il Nero | Tiromancino
 665: Per Me È Importante | Tiromancino
 666: Non me lo so spiegare | Tiziano Ferro
 667: American Girl | Tom Petty and the Heartbreakers
 668: I Need to Know | Tom Petty and the Heartbreakers
 669: Into The Great Wide Open | Tom Petty and the Heartbreakers
 670: Out In The Cold | Tom Petty and the Heartbreakers
 671: The Waiting | Tom Petty and the Heartbreakers
 672: You Don't Know How It Feels | Tom Petty
 673: Downtown Train | Tom Waits
 674: Romeo Is Bleeding | Tom Waits
 675: Lake Placid Blues | Tony Joe White
 676: L'italiano | Toto Cutugno
 677: Fast Car | Tracy Chapman
 678: For My Lover | Tracy Chapman
 679: Give Me One Reason | Tracy Chapman
 680: Sing | Travis
 681: Occhi bassi | Tre Allegri Ragazzi Morti
 682: Get It On | T. Rex
 683: A Milano Non c'è il Mare | Tricarico, Francesco De Gregori
 684: Are 'Friends' Electric? - 1998 Remaster | Tubeway Army
 685: "40" - Remastered 2008 | U2
 686: Gloria - Remastered 2008 | U2
 687: New Year's Day - Remastered 2008 | U2
 688: October - Remastered 2008 | U2
 689: Seconds - Remastered 2008 | U2
 690: Tomorrow - Remastered 2008 | U2
 691: A Thousand Miles | Vanessa Carlton
 692: Boa Sorte | Vanessa Da Mata, Ben Harper
 693: Hot for Teacher - 2015 Remaster | Van Halen
 694: Jump - 2015 Remaster | Van Halen
 695: Panama - 2015 Remaster | Van Halen
 696: Days Like This | Van Morrison
 697: Albachiara | Vasco Rossi
 698: E... | Vasco Rossi
 699: Liberi... Liberi | Vasco Rossi
 700: Quanti Anni Hai | Vasco Rossi
 701: Rewind | Vasco Rossi
 702: Boy Band - Radio Edit | Velvet
 703: Onan | Verdena
 704: Sunshine Of Your Love | Verdena
 705: Marajà | Vinicio Capossela
 706: Gone Daddy Gone | Violent Femmes
 707: The Beatitudes | Vladimir Martynov, Kronos Quartet
 708: I’ve Been Down | Xavier Pillac
 709: Despair | Yeah Yeah Yeahs
 710: Skeletons | Yeah Yeah Yeahs
 711: Zero | Yeah Yeah Yeahs
 712: Non Mi Pento | Ylenia Lucisano
 713: Undertow | Warpaint
 714: Your Woman | White Town
 715: Io non sono razzista ma... | Willie Peyote
 716: Moaning Lisa Smile | Wolf Alice
 717: Con Le Mani | Zucchero
 718: Diamante | Zucchero
 719: Menta E Rosmarino - Remastered 2017 | Zucchero
 720: La Grange - 2005 Remaster | ZZ Top
 721: If You Want Me to Stay | Sly & The Family Stone
 722: Search and Destroy [2023 Remaster] - Iggy Mix | The Stooges
 723: Lacio drom (Buon Viaggio) - Remastered 2017 | Litfiba
 724: Shock In My Town | Franco Battiato
 725: The Man Who Sold the World - 2015 Remaster | David Bowie
 726: Tales Of Brave Ulysses | Cream
 727: Desecration Smile | Red Hot Chili Peppers
 728: Berlin | Lou Reed
 729: Communication Breakdown - Remaster | Led Zeppelin
 730: Rhinoceros - Remastered 2011 | The Smashing Pumpkins
 731: Generator | Elastica
 732: Daydream - Remastered 2011 | The Smashing Pumpkins
 733: La chiesa si rinnova | Giorgio Gaber
 734: Crush - Remastered 2011 | The Smashing Pumpkins
 735: Fire | Jimi Hendrix
 736: Comptine d'un autre été, l'après-midi | Yann Tiersen
 737: La Valse d'Amélie - Version piano | Yann Tiersen
 738: I've Never Been There | Yann Tiersen
 739: Summer 78 (2) | Yann Tiersen
 740: Lo strano percorso | Max Pezzali
 741: Perfetto Uniformato | Eugenio In Via Di Gioia
 742: Bad Day | Daniel Powter
 743: Come di | Paolo Conte
 744: Good Vibrations | The Beach Boys
 745: Suddenly I See | KT Tunstall
 746: Jump | Madonna
 747: La storia | Francesco De Gregori
 748: Io Sto Bene - Live | CCCP – Fedeli Alla Linea
 749: Ballata Per La Mia Piccola Iena | Afterhours
 750: Non è tempo per noi | Ligabue
 751: Il Negozio Di Antiquariato | Niccolò Fabi
 752: L'Italiano medio | Articolo 31
 753: Spirale ovale | Articolo 31
 754: Frozen | Madonna
 755: American Pie | Madonna
 756: AAA Cercasi | Carmen Consoli
 757: Morirò da Re | Måneskin
 758: La libertà | Giorgio Gaber
 759: Surfin' U.S.A. | The Beach Boys
 760: Nel blu dipinto di blu | Domenico Modugno
 761: Fuori Dal Tunnel | Caparezza
 762: Vengo Dalla Luna | Caparezza
 763: Domesticated Animals | Queens of the Stone Age
 764: È colpa mia | Il Teatro Degli Orrori
 765: Majakovskij | Il Teatro Degli Orrori
 766: La vita è breve | Il Teatro Degli Orrori
 767: Meraviglioso | Domenico Modugno
 768: Gloomy Sunday | Sinéad O'Connor
 769: Green Onions | Booker T. & the M.G.'s
 770: Crazy In Love (feat. Jay-Z) | Beyoncé, JAY-Z
 771: Scrivile Scemo | Pinguini Tattici Nucleari
 772: Someplace | Max Maikon
 773: Sweet Harmony | The Beloved
 774: Sticks & Stones | Jónsi
 775: Once | Pearl Jam
 776: Jeremy | Pearl Jam
 777: Black | Pearl Jam
 778: Redemption Song | Bob Marley & The Wailers
 779: Ti Sento | Matia Bazar
 780: Venderò | Edoardo Bennato
 781: Alone in Kyoto | Air
 782: I'm A Believer | Smash Mouth
 783: Autofraintendimento | Bluvertigo
 784: Sound of da Police | KRS-One
 785: Nails, Hair, Hips, Heels | Todrick Hall
 786: Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams) | C & C Music Factory, Freedom Williams
 787: It Is Well | Bethel Music
 788: Demon's Eye - 1996 Remaster | Deep Purple
 789: Oceans (Where Feet May Fail) | Bethel Music
 790: Sola Gratia (Pt. 2) | SQÜRL, Jozef Van Wissem
 791: Mi Piaci | Alex Britti
 792: Spooky Action At A Distance | SQÜRL
 793: April Come She Will | Simon & Garfunkel
 794: Get Ready | 2 Unlimited
 795: Hit 'Em High | B-Real, Busta Rhymes, Coolio, LL COOL J, Method Man
 796: Call Me | Blondie
 797: Ass Like That | Eminem
 798: Good Time | Leroy
 799: La ballade des gens heureux | Gérard Lenorman
 800: Seattle | Public Image Ltd., Eric 'ET' Thorngren
 801: Autodafè | Frankie hi-nrg mc
 802: The Jean Genie - 2013 Remaster | David Bowie
 803: Fight da faida - Original Version | Frankie hi-nrg mc
 804: Un gelato al limon | Paolo Conte
 805: Oltremare | Ludovico Einaudi
 806: 10538 Overture | Electric Light Orchestra
 807: Io vagabondo (Che non sono altro) | Nomadi
 808: We Are The Champions - Remastered 2011 | Queen
 809: La guerra di Piero | Fabrizio De André
 810: Piccola Storia Ignobile - 2007 Digital Remaster | Francesco Guccini
 811: Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version | Buzzcocks
 812: Quello che non so di te | Motta
 813: Beautiful World | Colin Hay
 814: Conceived | Beth Orton
 815: This Must Be the Place (Naive Melody) | Gloria
 816: This Must Be the Place (Original Version) | Trevor Green
 817: Super Human | Remember Summer
 818: Are You Gonna Go My Way | Lenny Kravitz
 819: Everybody's Changing | Keane
 820: Le ragazze fanno grandi sogni | Edoardo Bennato
 821: Dominoes | Syd Barrett
 822: Green Green Grass Of Tunnel | múm
 823: Sunday Bloody Sunday - Remastered 2008 | U2
 824: Alive And Kicking | Simple Minds
 825: Il gatto e la volpe | Edoardo Bennato
 826: Easier to Lie | Aqualung
 827: Sometimes a Fantasy | Billy Joel
 828: Thrift Store T-shirt | Brent Jordan
 829: Hey Ya! | The Blanks
 830: Hey Ya! | Outkast
 831: The Book Of Love | Peter Gabriel
 832: Modì - 2018 Remaster | Vinicio Capossela
 833: ... E allora mambo - 2018 Remaster | Vinicio Capossela
 834: Più bella cosa | Eros Ramazzotti
 835: Everybody Hurts | R.E.M.
 836: Tieni il tempo | 883
 837: What Goes On | The Velvet Underground
 838: After Hours | The Velvet Underground
 839: The Murder Mystery | The Velvet Underground
 840: Stephanie Says | The Velvet Underground
 841: I Can't Stand It | The Velvet Underground
 842: Whenever, Wherever | Shakira
 843: Gargoyle | M Field
 844: Ten Is a Number | M Field
 845: Leafy Outlook | M Field
 846: Andrew | M Field
 847: Take A Chance On Me | ABBA
 848: Aphrodite | TRESOR, Beatenberg
 849: Ithaca | Beatenberg
 850: Mani | Eduardo De Crescenzo
 851: Everything In Its Right Place | Radiohead
 852: The National Anthem | Radiohead
 853: Motion Picture Soundtrack | Radiohead
 854: Born To Be Wild | Steppenwolf
 855: Born to Be Alive - The Original | Patrick Hernandez
 856: Guerra | Peppe Barra
 857: What A World | Joan As Police Woman
 858: The Magic | Joan As Police Woman
 859: Propaganda | Fabri Fibra, Colapesce, Dimartino
 860: 15 Step | Radiohead
 861: All My Life | Foo Fighters
 862: You | Radiohead
 863: Garden | Pearl Jam
 864: Deep | Pearl Jam
 865: Release | Pearl Jam
 866: Hustle and Cuss | The Dead Weather
 867: prison | Iosonouncane
 868: In The Air Tonight - 2015 Remastered | Phil Collins
 869: Tusk - 2018 Remaster | Fleetwood Mac
 870: Ciao | Lucio Dalla
 871: Minor Threat | Minor Threat
 872: More Than Ever People - Original | Levitation, Cathy Battistessa
 873: Baggio Baggio | Lucio Dalla
 874: All Wrong | Morphine
 875: R U Mine? | Arctic Monkeys
 876: Parabol | TOOL
 877: Fishbelly 86 Onions | All Them Witches
 878: Cure for Pain | Morphine
 879: Mad Sounds | Arctic Monkeys
 880: One For The Road | Arctic Monkeys
 881: High Strangeness | Mothership
 882: Peace of Mind | The Pilgrim
 883: Ain't No Change | Blues Pills
 884: Half-Tongue | All Them Witches
 885: Why'd You Only Call Me When You're High? | Arctic Monkeys
 886: Souljacker Part I | Eels
 887: 250 Miles | Radio Moscow
 888: The Grudge | TOOL
 889: The Patient | TOOL
 890: Schism | TOOL
 891: Lateralus | TOOL
 892: saudade, saudade | MARO
 893: Thursday | Morphine
 894: Il mondo prima | Tre Allegri Ragazzi Morti
 895: Uh-Oh, Love Comes to Town - 2005 Remaster | Talking Heads
 896: The Book I Read - 2005 Remaster | Talking Heads
 897: First Week / Last Week....Carefree - 2005 Remaster | Talking Heads
 898: Little Talks | Of Monsters and Men
 899: Rough Boys | Pete Townshend
 900: HJTC | All Them Witches
 901: The Only One | The Dolly Rocker Movement
 902: Disposition | TOOL
 903: Reflection | TOOL
 904: Ultra Stimulation | Finley Quaye
 905: It's Great When We're Together | Finley Quaye
 906: Red Rolled and Seen | Finley Quaye
 907: Maverick a Strike | Finley Quaye
 908: Supreme I Preme | Finley Quaye
 909: Your Love Gets Sweeter | Finley Quaye
 910: Even After All | Finley Quaye
 911: Mary Won't You Call My Name? | Morphine
 912: Fresh Feeling | Eels
 913: Rock 'n' Roll Star - Remastered | Oasis
 914: Live Forever - Remastered | Oasis
 915: Up In The Sky - Remastered | Oasis
 916: Columbia - Remastered | Oasis
 917: Supersonic - Remastered | Oasis
 918: Bring It On Down - Remastered | Oasis
 919: Slide Away - Remastered | Oasis
 920: Cigarettes & Alcohol - Remastered | Oasis
 921: Sad Song - Remastered | Oasis
 922: The Monolith of Phobos | The Claypool Lennon Delirium
 923: Space Cadet | Kyuss
 924: Juice To Get Loose | Left Lane Cruiser
 925: Un giorno nuovo | Sick Tamburo
 926: Age of Anxiety II (Rabbit Hole) | Arcade Fire
 927: The Lightning I | Arcade Fire
 928: The Lightning II | Arcade Fire
 929: Unconditional I (Lookout Kid) | Arcade Fire
 930: Unconditional II (Race and Religion) (feat. Peter Gabriel) | Arcade Fire, Peter Gabriel
 931: WE | Arcade Fire
 932: Baby Lemonade | Syd Barrett
 933: It Is Obvious | Syd Barrett
 934: Waving My Arms in the Air | Syd Barrett
 935: The Sea | Morcheeba
 936: Shoulder Holster | Morcheeba
 937: Part of the Process | Morcheeba
 938: Friction | Morcheeba
 939: Diggin' a Watery Grave | Morcheeba
 940: Fear and Love | Morcheeba
 941: Crawling Kingsnake | The Black Keys
 942: Anno Zero | Casino Royale
 943: Gigolo Aunt | Syd Barrett
 944: Stella di mare | Lucio Dalla
 945: Anna E Marco | Lucio Dalla
 946: Tango | Lucio Dalla
 947: Private Investigations | Dire Straits
 948: Industrial Disease | Dire Straits
 949: It Never Rains | Dire Straits
 950: Beauty Queen | Roxy Music
 951: Strictly Confidential | Roxy Music
 952: Grey Lagoons | Roxy Music
 953: For Your Pleasure | Roxy Music
 954: Come mi guardi tu | Tre Allegri Ragazzi Morti
 955: Allacci e sleghi | Bud Spencer Blues Explosion
 956: Di fronte a te, di fronte a me | Bud Spencer Blues Explosion
 957: Reel Around the Fountain - 2011 Remaster | The Smiths
 958: The Hand That Rocks the Cradle - 2011 Remaster | The Smiths
 959: This Charming Man - 2011 Remaster | The Smiths
 960: Still Ill - 2011 Remaster | The Smiths
 961: Balla ancora | Bandabardò
 962: Notte | Lucio Dalla
 963: It's So Easy | Guns N' Roses
 964: Here Comes The Flood | Peter Gabriel
 965: The Wedding List - 2018 Remaster | Kate Bush
 966: Anni di piombo | Virginiana Miller
 967: Jesus | The Velvet Underground
 968: Beginning To See The Light | The Velvet Underground
 969: I'm Set Free | The Velvet Underground
 970: Io e il demonio | Bud Spencer Blues Explosion, Davide Toffolo
 971: Tommy Gun - Remastered | The Clash
 972: I Am You | Depeche Mode
 973: Goodnight Lovers | Depeche Mode
 974: Get Your Hands off My Woman | The Darkness
 975: Shine | Depeche Mode
 976: Freelove | Depeche Mode
 977: Last Gang in Town - Remastered | The Clash
 978: Drug-Stabbing Time - Remastered | The Clash
 979: All the Young Punks (New Boots and Contracts) - Remastered | The Clash
 980: Life's a Beach | Django Django
 981: Chemical World - 2012 Remaster | Blur
 982: Oily Water - 2012 Remaster | Blur
 983: Gli Uccelli - Remastered 2021 | Franco Battiato
 984: Miss America - 2012 Remaster | Blur
 985: Swimsuit Issue | Sonic Youth
 986: Drunken Butterfly | Sonic Youth
 987: Sugar Kane | Sonic Youth
 988: Napalm Love | Air
 989: Tearjerker | Red Hot Chili Peppers
 990: Falling into Grace | Red Hot Chili Peppers
 991: Coffee Shop | Red Hot Chili Peppers
 992: Walkabout | Red Hot Chili Peppers
 993: Andrea/Tema di Rimini | Fabrizio De André
 994: To Love Somebody - 2021 Remaster | Roberta Flack
 995: Rimini | Fabrizio De André
 996: On The Strip | Sonic Youth
 997: Volta la carta | Fabrizio De André
 998: Twilight Zone | Golden Earring
 999: Ci sei solo tu | Litfiba
1000: Amigo | Litfiba
1001: Santiago | Litfiba
1002: Peste | Litfiba
1003: Bambino | Litfiba
1004: Greta - Remastered | Negrita
1005: Mother - Remastered | Negrita
1006: Il Mio Veleno - Remastered | Negrita
1007: Alzati Teresa - Remastered | Negrita
1008: Destinati A Perdersi - Remastered | Negrita
1009: I Had My Chance | Morphine
1010: Radar | Morphine
1011: Scratch | Morphine
1012: Sigh No More | Mumford & Sons
1013: The Cave | Mumford & Sons
1014: Timshel | Mumford & Sons
1015: Little Lion Man | Mumford & Sons
1016: Help Me | Johnny Cash
1017: Like The 309 | Johnny Cash
1018: On The Evening Train | Johnny Cash
1019: I'm Free From The Chain Gang Now | Johnny Cash
1020: Further On Up The Road | Johnny Cash
1021: End Of The Line | Roxy Music
1022: Sentimental Fool | Roxy Music
1023: Whirlwind | Roxy Music
1024: Nightingale | Roxy Music
1025: Theresa's Sound-World | Sonic Youth
1026: Tenth Avenue Freeze-Out | Bruce Springsteen
1027: Jungleland | Bruce Springsteen
1028: Meeting Across the River | Bruce Springsteen
1029: Thunder Road | Bruce Springsteen
1030: Exchange | Massive Attack
1031: Group Four | Massive Attack, Elizabeth Fraser
1032: Chimica | Ditonellapiaga, Donatella Rettore
1033: The Gulag Orkestar | Beirut
1034: Mount Wrociai (Idle Days) | Beirut
1035: Scenic World | Beirut
1036: After the Curtain | Beirut
1037: Under Pressure - Remastered 2011 | Queen, David Bowie
1038: Lucky Number | Lene Lovich
1039: Misty Blue | Dorothy Moore
1040: Lazy Bones | Brant Bjork
1041: Let's Get Chinese Eyes | Brant Bjork
1042: Defender of the Oleander | Brant Bjork
1043: Low Desert Punk | Brant Bjork
1044: Girl from the North Country | Bob Dylan
1045: Masters of War | Bob Dylan
1046: A Hard Rain's A-Gonna Fall | Bob Dylan
1047: Honey, Just Allow Me One More Chance | Bob Dylan
1048: Out Of Exile | Audioslave
1049: I Heard It Through The Grapevine | The Slits
1050: I Heard It Through The Grapevine | Creedence Clearwater Revival
1051: Salt & Pepper | DOPE LEMON
1052: Give Me Honey | DOPE LEMON
1053: The Midnight Slow | DOPE LEMON
1054: Major Tom (...völlig losgelöst) | Peter Schilling
1055: Typical Girls | The Slits
1056: Don't Go - 2008 Remaster | Yazoo
1057: Rabbit Heart (Raise It Up) | Florence + The Machine
1058: Kiss With A Fist | Florence + The Machine
1059: Girl With One Eye | Florence + The Machine
1060: Drumming Song | Florence + The Machine
1061: Cosmic Love | Florence + The Machine
1062: Between Two Lungs | Florence + The Machine
1063: My Boy Builds Coffins | Florence + The Machine
1064: You've Got The Love | Florence + The Machine
1065: Processed Beats | Kasabian
1066: I.D. | Kasabian
1067: Running Battle | Kasabian
1068: Test Transmission | Kasabian
1069: Winter Kills - 2008 Remaster | Yazoo
1070: The Sensual Woman | The Herbaliser
1071: Sleep | Godspeed You! Black Emperor
1072: Static | Godspeed You! Black Emperor
1073: Couleurs | M83
1074: Midnight Souls Still Remain | M83
1075: You Appearing | M83
1076: Kim & Jessie | M83
1077: Up! | M83
1078: Highway of Endless Dreams | M83
1079: Slice of Life | Bauhaus
1080: Old Flame | Alabama
1081: Slave - Remastered | The Rolling Stones
1082: Lay Your Hands On Me | Peter Gabriel
1083: Fontana chiara | Rino Gaetano
1084: Spendi spandi effendi | Rino Gaetano
1085: Escluso il cane | Rino Gaetano
1086: Sei ottavi | Rino Gaetano
1087: Rare tracce | Rino Gaetano
1088: Ok papà | Rino Gaetano
1089: Holding to the Edge of Night | Samantha Crain
1090: Constructive Eviction | Samantha Crain
1091: Little Bits | Samantha Crain
1092: Tough for You | Samantha Crain
1093: Garden Dove | Samantha Crain
1094: Call It What You Want | Foster The People
1095: Helena Beat | Foster The People
1096: 'Nu poco 'e sentimento - 2017 Remaster | Pino Daniele
1097: How to Disappear Completely | Radiohead
1098: In Limbo | Radiohead
1099: Bella m'briana - 2021 Remaster | Pino Daniele
1100: Litio | Massimo Volume
1101: L'importante è finire - 2001 Remaster | Mina
1102: Drivin' My Life Away | Eddie Rabbitt
1103: Don't Dream It's Over | Crowded House
1104: Goodbye Yellow Brick Road - Remastered 2014 | Elton John
1105: Louisiana Saturday Night | Mel McDaniel
1106: Vamos a la Playa | Loona
1107: The Heavenly Music Corporation I | Robert Fripp, Brian Eno
1108: Swastika Girls I | Robert Fripp, Brian Eno
1109: Swastika Girls II | Robert Fripp, Brian Eno
1110: Amami (Quando È Il Momento) | Cesare Cremonini
1111: Linda & Moreno Parte I | Cesare Cremonini
1112: Ziggy Stardust - 2012 Remaster | David Bowie
1113: Starman - 2012 Remaster | David Bowie
1114: Lady Stardust - 2012 Remaster | David Bowie
1115: Quello della foto | Giorgio Canali, Rossofuoco
1116: Lezioni di poesia | Giorgio Canali, Rossofuoco
1117: Nostra signora della dinamite | Giorgio Canali, Rossofuoco
1118: Respira ancora | Giorgio Canali, Rossofuoco
1119: Mme et Mr Curie | Giorgio Canali, Rossofuoco
1120: These Shadows | Wooden Shjips
1121: when you sleep | my bloody valentine
1122: come in alone | my bloody valentine
1123: soon | my bloody valentine
1124: blown a wish | my bloody valentine
1125: Intruder | Peter Gabriel
1126: Games Without Frontiers | Peter Gabriel
1127: Biko | Peter Gabriel
1128: I Don't Remember | Peter Gabriel
1129: Who in Time | Israel Nash
1130: Everything I had | Sun June
1131: Here Ever After | Red Hot Chili Peppers
1132: Aquatic Mouth Dance | Red Hot Chili Peppers
1133: Blackout | Muse
1134: Stockholm Syndrome | Muse
1135: Falling Away with You | Muse
1136: Time is Running Out | Muse
1137: Apocalypse Please | Muse
1138: Mostri sotto il letto | Giorgio Canali, Rossofuoco
1139: Taste in Men | Placebo
1140: Special K | Placebo
1141: Slave to the Wage | Placebo
1142: Commercial for Levi | Placebo
1143: Black Market Blood | Placebo
1144: Felt Like Home | TEEN BLUSH
1145: Each Time You Fall in Love | Cigarettes After Sex
1146: Sunsetz | Cigarettes After Sex
1147: Flash | Cigarettes After Sex
1148: Young & Dumb | Cigarettes After Sex
1149: The Number Song | DJ Shadow
1150: What Does Your Soul Look Like - Pt. 4 | DJ Shadow
1151: Transmission 2 | DJ Shadow
1152: Organ Donor | DJ Shadow
1153: Napalm Brain / Scatter Brain - Medley | DJ Shadow
1154: What Does Your Soul Look Like - Pt. 1 / Blue Sky Revisit | DJ Shadow
1155: Stem / Long Stem - Medley | DJ Shadow
1156: Blackest Eyes - Remastered | Porcupine Tree
1157: The Sound Of Muzak - Remastered | Porcupine Tree
1158: Trains - Remastered | Porcupine Tree
1159: Prodigal - Remastered | Porcupine Tree
1160: Marooned - 2011 Remaster | Pink Floyd
1161: Take It Back - 2011 Remaster | Pink Floyd
1162: A Question of Lust | Depeche Mode
1163: Stripped | Depeche Mode
1164: A Question of Time | Depeche Mode
1165: Here Is the House | Depeche Mode
1166: Born Slippy - Nuxx / Remastered | Underworld
1167: Pippo | Zucchero
1168: Non Ti Sopporto Più | Zucchero
1169: Bambino Io, Bambino Tu (Legenda) | Zucchero
1170: Dune Mosse | Zucchero
1171: Hey Man | Zucchero
1172: Always | Yeah Yeah Yeahs
1173: Under The Earth | Yeah Yeah Yeahs
1174: Despair | Yeah Yeah Yeahs
1175: Wedding Song | Yeah Yeah Yeahs
1176: The Big Sky - Special Single Mix | Kate Bush
1177: Under Ice | Kate Bush
1178: Watching You Without Me | Kate Bush
1179: Jig Of Life | Kate Bush
1180: Hello Earth | Kate Bush
1181: I Walk the Line | Johnny Cash
1182: Apache | The Shadows
1183: Day Tripper - Remastered 2015 | The Beatles
1184: You Really Got Me - Remastered | The Kinks
1185: Wild Thing | The Troggs
1186: Brown Eyed Girl | Van Morrison
1187: Smoke on the Water | Deep Purple
1188: Blitzkrieg Bop - 2016 Remaster | Ramones
1189: Should I Stay or Should I Go - Remastered | The Clash
1190: Hold the Line | TOTO
1191: Thunderstruck | AC/DC
1192: Le Freak | CHIC
1193: Walk This Way | Aerosmith
1194: Plug in Baby | Muse
1195: One Step Closer | Linkin Park
1196: Ain't Talkin' 'Bout Love - 2015 Remaster | Van Halen
1197: Tell Me Now - 2021 Remaster | Pino Daniele
1198: Gesù Gesù - 2021 Remaster | Pino Daniele
1199: Cumbà - 2021 Remaster | Pino Daniele
1200: Pride and Joy | Stevie Ray Vaughan
1201: 2 Minutes to Midnight - 2015 Remaster | Iron Maiden
1202: Jesce juorno - 2021 Remaster | Pino Daniele
1203: Cry - 2021 Remaster | Pino Daniele
1204: Me sò 'mbriacato 'e te Forever - 2021 Remaster | Pino Daniele
1205: Al Capone - 2021 Remaster | Pino Daniele
1206: Big Love | Fleetwood Mac
1207: Funky Boss - Remastered 2009 | Beastie Boys
1208: Gratitude - Remastered 2009 | Beastie Boys
1209: Finger Lickin' Good - Remastered 2009 | Beastie Boys
1210: Stand Together - Remastered 2009 | Beastie Boys
1211: Professor Booty - Remastered 2009 | Beastie Boys
1212: Curse the Night | The Raveonettes
1213: Little Wing | Jimi Hendrix
1214: Jimmy James - Remastered 2009 | Beastie Boys
1215: Sex on Fire | Kings of Leon
1216: G.O.A.T. | Polyphia
1217: Drive | Incubus
1218: Dans ma rue | Zaz
1219: Misirlou | Dick Dale
1220: Hocus Pocus | Focus
1221: All Day and All of the Night | The Kinks
1222: This Picture | Placebo
1223: English Summer Rain | Placebo
1224: Plasticine | Placebo
1225: Heartbreak Warfare | John Mayer
1226: I'm Eighteen | Alice Cooper
1227: The Recollection | Rick Wakeman
1228: Limelight | Rush
1229: Kryptonite | 3 Doors Down
1230: He Was a Big Freak | Betty Davis
1231: Don't Call Her No Tramp | Betty Davis
1232: 70'S Blues | Betty Davis
1233: Shoo-B-Doop and Cop Him | Betty Davis
1234: Your Mama Wants Ya Back | Betty Davis
1235: Special People | Betty Davis
1236: Darling Nikki | Prince
1237: When Doves Cry | Prince
1238: I Would Die 4 U | Prince
1239: Let's Go Crazy | Prince
1240: Steady Rain | Warren Zevon
1241: Rocky Raccoon - Remastered 2009 | The Beatles
1242: Happiness Is A Warm Gun - Remastered 2009 | The Beatles
1243: Martha My Dear - Remastered 2009 | The Beatles
1244: Piggies - Remastered 2009 | The Beatles
1245: Don't Pass Me By - Remastered 2009 | The Beatles
1246: Revolution 1 - Remastered 2009 | The Beatles
1247: Mother Nature's Son - Remastered 2009 | The Beatles
1248: Cry Baby Cry - Remastered 2009 | The Beatles
1249: Good Night - Remastered 2009 | The Beatles
1250: Incredibile romantica | Vasco Rossi
1251: Che ironia | Vasco Rossi
1252: Brava | Vasco Rossi
1253: Starless | Verdena
1254: Miami safari | Verdena
1255: Song For The Dead | Queens of the Stone Age
1256: God Is In The Radio | Queens of the Stone Age
1257: Song For The Deaf | Queens of the Stone Age
1258: Skateaway | Dire Straits
1259: Solid Rock | Dire Straits
1260: Seduto in riva al fosso | Ligabue
1261: La forza della banda | Ligabue
1262: Hai un momento, Dio? | Ligabue
1263: I "ragazzi" sono in giro | Ligabue
1264: Quella che non sei | Ligabue
1265: Canto del servo pastore | Fabrizio De André
1266: Franziska | Fabrizio De André
1267: Hotel Supramonte | Fabrizio De André
1268: Se ti tagliassero a pezzetti | Fabrizio De André
1269: The Times They Are A-Changin' | Simon & Garfunkel
1270: Last Night I Had the Strangest Dream | Simon & Garfunkel
1271: He Was My Brother | Simon & Garfunkel
1272: Peggy-O | Simon & Garfunkel
1273: Go Tell It On the Mountain | Simon & Garfunkel
1274: Brass in Pocket - 2006 Remaster | Pretenders
1275: Low Life - Studio Version / 2011 Remaster | Public Image Ltd.
1276: Theme - 2011 Remaster | Public Image Ltd.
1277: Religion I - 2011 Remaster | Public Image Ltd.
1278: Fodderstompf - 2011 Remaster | Public Image Ltd.
1279: Introduzione | Fabrizio De André
1280: Al Ballo Mascherato | Fabrizio De André
1281: Sempre Allegri | Bandabardò
1282: Ma perché | 883
1283: Come mai | 883
1284: Bonnie And Clyde | Brigitte Bardot, Serge Gainsbourg
1285: Ocean Size | Jane's Addiction
1286: Summertime Rolls | Jane's Addiction
1287: Mountain Song | Jane's Addiction
1288: Idiots Rule | Jane's Addiction
1289: Pigs in Zen | Jane's Addiction
1290: Cara maestra | Luigi Tenco
1291: Les Grandes Marches | Moderat
1292: A New Error | Moderat
1293: Nasty Silence | Moderat
1294: Porc #1 | Moderat
1295: Porc #2 | Moderat
1296: Chaise Longue | Verdena
1297: Paul e Linda | Verdena
1298: Certi Magazine | Verdena
1299: Cielo Super Acceso | Verdena
1300: X Sempre Assente | Verdena
1301: Nei Rami | Verdena
1302: Volevo Magia | Verdena
1303: Cemetry Gates - 2011 Remaster | The Smiths
1304: Never Had No One Ever - 2011 Remaster | The Smiths
1305: The Boy with the Thorn in His Side - 2011 Remaster | The Smiths
